id,name,direction_id/id
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__item__item__institut_national_du_petrole_et_du_gaz,Institut national du Pétrole et du Gaz,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__item__item__service_geologique_national_du_senegal,Service géologique national du Sénégal,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__item__item__chambres_des_metiers,Chambres des métiers,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__item__item__fonds_de_developpement_des_cultures_urbaines_et_des_industries_creatives,Fonds de développement des Cultures Urbaines et des Industries créatives,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__item__item__senegal,Sénégal,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__agence_pour_la_promotion_et_le_developpement_de_l_artisanat,Agence pour la Promotion et le Développement de l'Artisanat,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__agence_senegalaise_de_promotion_touristique,Agence Sénégalaise de Promotion Touristique,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__centre_de_formation_artisanale_de_dakar,Centre de Formation artisanale de Dakar,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__centre_de_perfectionnement_agricole_et_artisanal,Centre de Perfectionnement agricole et artisanal,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__centre_de_perfectionnement_des_artisans_ruraux,Centre de Perfectionnement des artisans ruraux,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__musee_boribana,Musée Boribana,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__service_des_spectacles_sons_et_lumieres,Service des Spectacles Sons et Lumières,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__bureau_de_la_communication_des_archives_et_de_la_documentation,"Bureau de la Communication, des Archives et de la Documentation",
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__bureau_de_l_architecture_et_des_monuments_historiques,Bureau de l’Architecture et des monuments historiques,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__cellule_des_statistiques_et_donnees,Cellule des statistiques et données,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__inspection_interne,Inspection interne,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__service_des_relations_publiques_et_de_la_documentation,Service des Relations publiques et de la Documentation,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_l_artisanat,Direction de l'Artisanat,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_l_encadrement_et_de_la_transformation_des_entreprises_informelles,Direction de l'Encadrement et de la transformation des entreprises informelles,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_la_cinematographie_et_de_l_audiovisuel,Direction de la Cinématographie et de l’Audiovisuel,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_la_promotion_touristique,Direction de la Promotion touristique,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_la_reglementation_touristique,Direction de la Réglementation touristique,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_l_administration_generale_et_de_l_equipement,Direction de l’Administration générale et de l’Equipement,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_des_arts,Direction des Arts,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_des_statistiques_et_de_la_productivite_du_capital_humain,Direction des Statistiques et de la productivité du Capital humain,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_du_livre_et_de_la_promotion_de_la_lecture,Direction du Livre et de la Promotion de la Lecture,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_du_patrimoine_culturel,Direction du Patrimoine culturel,sn_dir_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__bureau_des_archives_et_de_la_documentation,Bureau des archives et de la Documentation,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__bureau_du_courrier_commun,Bureau du Courrier commun,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__cellule_de_passation_des_marches_publics,Cellule de passation des Marchés publics,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__cellule_des_affaires_juridiques,Cellule des Affaires juridiques,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__cellule_des_etudes_de_la_planification_et_du_suivi_evaluation,"Cellule des études, de la planification et du suivi-évaluation",
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__cellule_du_genre_et_de_l_equite,Cellule du Genre et de l'Equité,
sn_srv_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches__item__cellule_l_informatique,Cellule l'Informatique,
sn_srv_ministere_de_la_jeunesse_et_des_sports__item__item__office_de_gestion_des_infrastructures_sportives,Office de Gestion des Infrastructures sportives,
sn_srv_ministere_des_finances_et_du_budget__item__item__agence_pour_la_securite_de_la_navigation_aerienne_en_afrique_et_a_madagascar,Agence pour la Sécurité de la Navigation aérienne en Afrique et à Madagascar,
sn_srv_ministere_des_finances_et_du_budget__item__item__air_senegal_s_a,Air Sénégal S.A,
sn_srv_ministere_des_finances_et_du_budget__item__item__fonds_de_garantie_automobile,Fonds de Garantie automobile,
sn_srv_ministere_des_finances_et_du_budget__item__item__loterie_nationale_du_senegal,Loterie nationale du Sénégal,
sn_srv_ministere_des_finances_et_du_budget__item__item__societe_anonyme_aeroport_international_blaise_diagne,Société Anonyme Aéroport International Blaise Diagne,
sn_srv_ministere_des_infrastructures__item__item__fonds_d_entretien_routier_autonome,Fonds d’Entretien Routier Autonome,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__item__item__societe_des_mines_du_senegal_somisen_sa,Société des Mines du Sénégal (SOMISEN SA),
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__autres_administrations__item__agence_nationale_pour_les_energies_renouvelables,Agence nationale pour les Energies renouvelables,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__autres_administrations__item__agence_pour_l_economie_et_la_maitrise_de_l_energie,Agence pour l’Economie et la Maitrise de l’Energie,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__autres_administrations__item__agence_senegalaise_de_l_electrification_rurale,Agence sénégalaise de l’Electrification rurale,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__autres_administrations__item__fonds_de_developpement_geologique_et_minier,Fonds de Développement géologique et minier,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__item__cellule_de_communication_et_des_relations_publiques,Cellule de Communication et des Relations publiques,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__item__cellule_des_statistiques_et_donnees,Cellule des statistiques et données,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__item__inspection_interne,Inspection interne,
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__secretariat_technique_du_comite_national_de_suivi_du_contenu_local__du_gaz_ges_petrogaz,du Gaz (GES-PETROGAZ),sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__secretariat_technique_du_comite_national_de_suivi_du_contenu_local
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__secretariat_technique_du_comite_national_de_suivi_du_contenu_local__unite_d_execution_et_de_gestion_du_comite_d_orientation_strategique_du_petrole_et,Unité d’Exécution et de Gestion du Comité d’Orientation stratégique du Pétrole et,sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches__secretariat_technique_du_comite_national_de_suivi_du_contenu_local
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie__direction_de_l_electricite,Direction de l'Electricité,sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie__direction_de_la_transition_energetique,Direction de la Transition énergétique,sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie
sn_srv_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie__direction_du_developpement_des_energies_renouvelables,Direction du Développement des Energies renouvelables,sn_dir_ministere_de_l_energie_du_petrole_et_des_mines__directions__direction_generale_de_l_energie
