key,name,current_code,desired_code,notes
5deg secretariat general de la presidence de la republique et services rattaches,5° Secrétariat Général De La Présidence De La République Et Services Rattachés,SGDLPDLRES,,
direction des constructions du ministere de l'interieur,Direction Des Constructions Du Ministère De L’intérieur,DDCDMDL,,
"ministere de la culture, de l'artisanat et du tourisme","Ministere DE LA Culture, DE L’artisanat ET DU Tourisme",MDLCDLEDT,,
"ministere de l'energie, du petrole et des mines","Ministère DE L'énergie, DU Pétrole ET DES MINES",MDLDPEDM,,
"ministere de la communication, des telecommunications et du numerique","Ministère DE LA Communication, DES Telecommunications ET DU Numérique",MDLCDTEDN,,
"ministere de la famille, de l'action sociale et des solidarites","Ministère DE LA Famille, DE L’action Sociale ET DES Solidarités",MDLFDLSEDS,,
"ministere de la fonction publique, du travail et de la reforme du service public","Ministère DE LA Fonction Publique, DU Travail ET DE LA Réforme DU Service PUBLIC",MDLFPDTEDL,,
ministere de la jeunesse et des sports,Ministère DE LA Jeunesse ET DES SPORTS,MDLJEDS,,
ministere de la justice,Ministère DE LA Justice,MDLJ,,
"ministere de la microfinance, de l'economie sociale et solidaire","Ministère DE LA Microfinance, DE L’economie Sociale ET Solidaire",MDLMDLSES,,
ministere de la sante et de l'hygiene publique,Ministère DE LA SANTE ET DE L’hygiene Publique,MDLSEDLP,,
"ministere de l'agriculture, de la souverainete alimentaire et de l'elevage","Ministère DE L’agriculture, DE LA Souveraineté Alimentaire ET DE L’elevage",MDLDLSAEDL,,
"ministere de l'economie, du plan et de la cooperation","Ministère DE L’economie, DU PLAN ET DE LA Coopération",MDLDPEDLC,,
ministere de l'education nationale,Ministère DE L’education Nationale,MDLN,,
ministere de l'emploi et de la formation professionnelle et technique,Ministère DE L’emploi ET DE LA Formation Professionnelle ET Technique,MDLEDLFPET,,
"ministere de l'enseignement superieur, de la recherche et de l'innovation","Ministère DE L’enseignement Supérieur, DE LA Recherche ET DE L’innovation",MDLSDLREDL,,
ministere de l'environnement et de la transition ecologique,Ministère DE L’environnement ET DE LA Transition Ecologique,MDLEDLTE,,
ministere de l'hydraulique et de l'assainissement,Ministère DE L’hydraulique ET DE L’assainissement,MDLEDL,,
ministere de l'industrie et du commerce,Ministère DE L’industrie ET DU Commerce,MDLEDC,,
ministere de l'interieur et de la securite publique,Ministère DE L’interieur ET DE LA Sécurité Publique,MDLEDLSP,,
"ministere de l'integration africaine, des affaires etrangeres et des senegalais de l'exterieur","Ministère DE L’intégration Africaine, DES Affaires Étrangères ET DES Senegalais DE L’exterieur",MDLADAEEDS,,
"ministere de l'urbanisme, des collectivites territoriales et de l'amenagement des territoires","Ministère DE L’urbanisme, DES Collectivités Territoriales ET DE L’aménagement DES Territoires",MDLDCTEDLD,,
ministere des forces armees,Ministère DES FORCES ARMÉES,MDFA,,
ministere des finances et du budget,Ministère DES Finances ET DU BUDGET,MDFEDB,,
ministere des infrastructures,Ministère DES Infrastructures,MDI,,
ministere des peches et de l'economie maritime,Ministère DES PÊCHES ET DE L’economie Maritime,MDPEDLM,,
ministere des transports terrestres et aeriens,Ministère DES Transports Terrestres ET Aériens,MDTTEA,,
primature,Primature,PM,,
presidence de la republique,Présidence DE LA République,PR,,
