Niveau 1,Niveau 2,Niveau 3,Niveau 4
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,,Inspection générale d’Etat (IGE)
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,,Office national de lutte contre la Corruption (OFNAC)
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,,Comité d’Orientation stratégique du Pétrole et du Gaz (COS-PETROGAZ)
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,,Bureau d’Evaluation des Politiques et Programmes publics
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,,Délégation générale aux Affaires religieuses (DEGAR)
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,,Haut Conseil du Dialogue social
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle diplomatique ,Bureau du représentant personnel du Chef de l’Etat auprès de l’Organisation
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle diplomatique ,internationale de la Francophonie
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle des affaires protocolaires ,Service du Protocole présidentiel
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle des affaires protocolaires ,Grande Chancellerie de l’Ordre national du Lion
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle Juridique,Conseiller (s) juridique (s)
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle Communication et Porte-parolat ,Cellule audiovisuelle
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle Communication et Porte-parolat ,Cellule digitale
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Pôle Sécurité ,Délégation générale au renseignement national
PRÉSIDENCE DE LA RÉPUBLIQUE,Cabinet du Président de la République et services rattachés ,Secrétariat du Conseil supérieur de la Cour des Comptes,Commission nationale de la Gestion des Frontières
