id,name
L1_ministere_de_l_energie_du_petrole_et_des_mines,"MINISTERE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES"
L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,"MINISTERE DE LA CULTURE, DE L’ARTISANAT ET DU TOURISME"
L1_ministere_de_la_jeunesse_et_des_sports,MINISTERE DE LA JEUNESSE ET DES SPORTS
L1_ministere_des_finances_et_du_budget,MINISTERE DES FINANCES ET DU BUDGET
L1_ministere_des_infrastructures,MINISTERE DES INFRASTRUCTURES
L1_ministere_de_l_energie_du_petrole_et_des_mines,"MINISTÈRE DE L'ÉNERGIE, DU PÉTROLE ET DES MINES"
L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites,"MINISTÈRE DE LA FAMILLE, DE L’ACTION SOCIALE ET DES SOLIDARITES"
L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites,"MINISTÈRE DE LA FAMILLE, DE L’ACTION SOCIALE ET DES SOLIDARITÉS"
L1_ministere_de_la_jeunesse_et_des_sports,MINISTÈRE DE LA JEUNESSE ET DES SPORTS
L1_ministere_de_la_justice,MINISTÈRE DE LA JUSTICE
L1_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire,"MINISTÈRE DE LA MICROFINANCE, DE L’ECONOMIE SOCIALE ET SOLIDAIRE"
L1_ministere_de_la_sante_et_de_l_hygiene_publique,MINISTÈRE DE LA SANTE ET DE L’HYGIENE PUBLIQUE
L1_ministere_de_l_agriculture_de_la_souverainete_alimentaire_et_de,"MINISTÈRE DE L’AGRICULTURE, DE LA SOUVERAINETÉ ALIMENTAIRE ET DE"
L1_ministere_de_l_economie_du_plan_et_de_la_cooperation,"MINISTÈRE DE L’ECONOMIE, DU PLAN ET DE LA COOPÉRATION"
L1_ministere_de_l_education_nationale,MINISTÈRE DE L’EDUCATION NATIONALE
L1_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique,MINISTÈRE DE L’EMPLOI ET DE LA FORMATION PROFESSIONNELLE ET TECHNIQUE
L1_ministere_de_l_enseignement_superieur_de_la_recherche_et_de,"MINISTÈRE DE L’ENSEIGNEMENT SUPÉRIEUR, DE LA RECHERCHE ET DE"
L1_ministere_de_l_environnement_et_de_la_transition_ecologique,MINISTÈRE DE L’ENVIRONNEMENT ET DE LA TRANSITION ECOLOGIQUE
L1_ministere_de_l_hydraulique_et_de_l_assainissement,MINISTÈRE DE L’HYDRAULIQUE ET DE L’ASSAINISSEMENT
L1_ministere_de_l_industrie_et_du_commerce,MINISTÈRE DE L’INDUSTRIE ET DU COMMERCE
L1_ministere_de_l_interieur_et_de_la_securite_publique,MINISTÈRE DE L’INTERIEUR ET DE LA SÉCURITÉ PUBLIQUE
L1_ministere_de_l_integration_africaine_des_affaires_etrangeres_et,"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET"
L1_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de,"MINISTÈRE DE L’URBANISME, DES COLLECTIVITÉS TERRITORIALES ET DE"
L1_ministere_des_finances_et_du_budget,MINISTÈRE DES FINANCES ET DU BUDGET
L1_ministere_des_forces_armees,MINISTÈRE DES FORCES ARMÉES
L1_ministere_des_peches_et_de_l_economie_maritime,MINISTÈRE DES PÊCHES ET DE L’ECONOMIE MARITIME
L1_ministere_des_transports_terrestres_et_aeriens,MINISTÈRE DES TRANSPORTS TERRESTRES ET AÉRIENS
L1_numerique,NUMERIQUE
L1_numerique,NUMÉRIQUE
L1_presidence_de_la_republique,PRESIDENCE DE LA REPUBLIQUE
L1_primature,PRIMATURE
L1_presidence_de_la_republique,PRÉSIDENCE DE LA RÉPUBLIQUE
L1_service_public,SERVICE PUBLIC
