id,name,parent_level1
L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,Autres administrations :Ecole nationale de Formation hôtelière et touristique,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme
L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches,Cabinet et services rattachés,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme
L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions,Directions,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme
L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme
L2_ministere_de_l_energie_du_petrole_et_des_mines__autres_administrations,Autres administrations,L1_ministere_de_l_energie_du_petrole_et_des_mines
L2_ministere_de_l_energie_du_petrole_et_des_mines__cabinet_et_services_rattaches,Cabinet et services rattachés,L1_ministere_de_l_energie_du_petrole_et_des_mines
L2_ministere_de_l_energie_du_petrole_et_des_mines__directions,Directions,L1_ministere_de_l_energie_du_petrole_et_des_mines
L2_ministere_de_l_energie_du_petrole_et_des_mines__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,L1_ministere_de_l_energie_du_petrole_et_des_mines
L2_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__autres_administrations,Autres administrations,L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites
L2_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__cabinet_et_services_rattaches,Cabinet et services rattachés,L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites
L2_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__directions,Directions,L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites
L2_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__directions_regionales,Directions régionales,L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites
L2_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,L1_ministere_de_la_famille_de_l_action_sociale_et_des_solidarites
L2_ministere_de_la_jeunesse_et_des_sports__autres_administrations,Autres administrations,L1_ministere_de_la_jeunesse_et_des_sports
L2_ministere_de_la_jeunesse_et_des_sports__cabinet_et_services_rattaches,Cabinet et services rattachés,L1_ministere_de_la_jeunesse_et_des_sports
L2_ministere_de_la_jeunesse_et_des_sports__directions,Directions,L1_ministere_de_la_jeunesse_et_des_sports
L2_ministere_de_la_jeunesse_et_des_sports__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,L1_ministere_de_la_jeunesse_et_des_sports
L2_ministere_de_la_justice__autres_administrations,Autres administrations,L1_ministere_de_la_justice
L2_ministere_de_la_justice__cabinet_et_services_rattaches,Cabinet et services rattachés,L1_ministere_de_la_justice
L2_ministere_de_la_justice__directions,Directions,L1_ministere_de_la_justice
L2_ministere_de_la_justice__secretariat_general_et_services_rattaches,Secrétariat général et Services rattachés,L1_ministere_de_la_justice
L2_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__autres_administrations,Autres administrations,L1_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
L2_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__cabinet_et_services_rattaches,Cabinet et services rattachés,L1_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
L2_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions,Directions,L1_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
L2_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions_regionales_des_infrastructures,Directions régionales des Infrastructures,L1_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
