id,name,parent_level1,parent_level2,parent_level3
L4_ministere_de_l_energie_du_petrole_et_des_mines__item__item__institut_national_du_petrole_et_du_gaz,Institut national du Pétrole et du Gaz,L1_ministere_de_l_energie_du_petrole_et_des_mines,,
L4_ministere_de_l_energie_du_petrole_et_des_mines__item__item__service_geologique_national_du_senegal,Service géologique national du Sénégal,L1_ministere_de_l_energie_du_petrole_et_des_mines,,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__item__item__chambres_des_metiers,Chambres des métiers,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__item__item__fonds_de_developpement_des_cultures_urbaines_et_des_industries_creatives,Fonds de développement des Cultures Urbaines et des Industries créatives,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__item__item__senegal,Sénégal,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__agence_pour_la_promotion_et_le_developpement_de_l_artisanat,Agence pour la Promotion et le Développement de l'Artisanat,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__agence_senegalaise_de_promotion_touristique,Agence Sénégalaise de Promotion Touristique,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__centre_de_formation_artisanale_de_dakar,Centre de Formation artisanale de Dakar,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__centre_de_perfectionnement_agricole_et_artisanal,Centre de Perfectionnement agricole et artisanal,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__centre_de_perfectionnement_des_artisans_ruraux,Centre de Perfectionnement des artisans ruraux,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__musee_boribana,Musée Boribana,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique__item__service_des_spectacles_sons_et_lumieres,Service des Spectacles Sons et Lumières,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__autres_administrations_ecole_nationale_de_formation_hoteliere_et_touristique,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__bureau_de_la_communication_des_archives_et_de_la_documentation,"Bureau de la Communication, des Archives et de la Documentation",L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__bureau_de_l_architecture_et_des_monuments_historiques,Bureau de l’Architecture et des monuments historiques,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__cellule_des_statistiques_et_donnees,Cellule des statistiques et données,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__inspection_interne,Inspection interne,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches__item__service_des_relations_publiques_et_de_la_documentation,Service des Relations publiques et de la Documentation,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__cabinet_et_services_rattaches,
L4_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture__direction_de_l_artisanat,Direction de l'Artisanat,L1_ministere_de_la_culture_de_l_artisanat_et_du_tourisme,L2_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions,L3_ministere_de_la_culture_de_l_artisanat_et_du_tourisme__directions__direction_generale_de_la_culture
